seed,best_epoch,epochs_completed,best_validation_macro_auroc,reproduced_validation_macro_auroc,test_records_used,best_checkpoint_sha256
20260826,26,50,0.93035677028342079,0.93035677028342079,0,d63aed62cbf182b57bae2d43392c46d453cfe5522f3a25f8a24991e75144187b
20260827,19,50,0.92832509433526411,0.92832509433526411,0,1b1d5391daab6b7ae7a92407a19c30e38192f3b8293c205d5df157c702f890b9
20260828,17,50,0.93090012924320731,0.93090012924320731,0,2f43580852d9080b4d1c7613800976d8dd0330b5900d7be90598b90d5542928a
